[2025-11-20 17:45:05] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:45:05] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:45:06] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:45:06] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:45:06] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:45:08] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:45:47] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:46:37] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:46:38] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:46:39] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:46:39] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:46:39] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:46:40] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:46:40] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:46:40] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:46:40] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:46:41] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:46:41] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:46:42] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:46:42] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:46:45] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:46:45] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:46:45] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:46:59] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:47:01] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:47:12] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:47:12] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:47:23] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:47:30] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:47:55] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:48:01] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:48:39] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:49:28] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:49:30] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:50:59] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:51:01] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:51:03] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:52:41] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:53:58] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:54:01] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:54:04] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:54:06] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:54:17] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:54:24] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:54:33] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:54:38] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:54:47] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:54:47] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:55:27] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:55:30] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:55:45] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:55:49] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:56:57] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:57:00] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 17:58:18] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20 19:13:00] WARNING django.request - Not Found: /login
[2025-11-21 08:55:36] WARNING django.request - Not Found: /favicon.ico
[2025-11-21 09:18:45] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-21 09:18:47] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-21 09:18:52] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-21 09:18:53] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-21 09:19:55] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-11-21 10:59:08] WARNING django.request - Not Found: /favicon.ico
[2025-11-21 11:58:36]    INFO django.utils.autoreload - E:\pythonspace\skerp_project\quality\inspections\models.py changed, reloading.
